order_date,region,product,channel,quantity,revenue,cost,profit
2024-04-12,West,Accessories,Email,3,3541.66,2404.98,1136.6799999999998
2024-05-01,East,Tablet,Email,4,2135.51,1159.28,976.2300000000002
2024-05-10,South,Accessories,Paid Ads,4,5028.17,2834.39,2193.78
2024-07-10,West,Accessories,Organic,4,3747.59,1881.74,1865.8500000000001
2024-12-10,North,Tablet,Email,3,756.8,444.73,312.06999999999994
2024-09-27,South,Tablet,Referral,3,4427.05,2833.44,1593.6100000000001
2024-11-02,East,Accessories,Organic,3,207.7,162.56,45.139999999999986
2024-01-14,South,Phone,Organic,2,383.25,270.29,112.95999999999998
2024-09-20,East,Tablet,Paid Ads,1,425.23,297.13,128.10000000000002
2024-01-02,South,Phone,Referral,2,190.81,143.62,47.19
2024-02-13,South,Phone,Paid Ads,4,3667.82,2848.29,819.5300000000002
2024-08-02,West,Laptop,Paid Ads,4,5098.3,3692.17,1406.13
2024-02-22,West,Phone,Organic,4,3720.8,2168.48,1552.3200000000002
2024-06-05,East,Accessories,Organic,1,1480.99,1083.6,397.3900000000001
2024-05-15,West,Tablet,Email,1,1081.45,797.08,284.37
2024-09-17,South,Phone,Organic,4,5206.0,3576.47,1629.5300000000002
2024-02-02,West,Accessories,Email,4,3897.83,2986.38,911.4499999999998
2024-08-14,North,Tablet,Organic,1,863.85,631.73,232.12
2024-12-24,East,Laptop,Email,3,632.38,399.54,232.83999999999997
2024-06-27,East,Laptop,Referral,1,787.43,608.11,179.31999999999994
2024-08-18,North,Tablet,Organic,4,5668.55,3852.69,1815.8600000000001
2024-08-30,South,Monitor,Paid Ads,2,2443.55,1686.1,757.4500000000003
2024-05-13,West,Monitor,Referral,4,2615.76,2001.01,614.7500000000002
2024-05-07,South,Monitor,Organic,3,4094.7,2381.64,1713.06
2024-10-09,South,Laptop,Referral,1,1298.06,651.74,646.3199999999999
2024-05-16,South,Accessories,Organic,3,1321.94,757.79,564.1500000000001
2024-11-10,South,Laptop,Referral,1,144.09,83.02,61.07000000000001
2024-09-24,South,Phone,Email,1,264.73,211.6,53.130000000000024
2024-07-05,North,Phone,Paid Ads,4,498.58,290.97,207.60999999999996
2024-08-12,North,Tablet,Paid Ads,2,1639.71,1040.13,599.5799999999999
2024-07-16,West,Monitor,Email,3,1758.0,1006.71,751.29
2024-10-20,West,Accessories,Referral,2,1937.24,1279.99,657.25
2024-08-27,West,Laptop,Organic,4,3147.55,2230.81,916.7400000000002
2024-09-15,West,Monitor,Email,4,296.21,193.61,102.59999999999997
2024-05-26,West,Monitor,Organic,1,626.48,410.55,215.93
2024-12-25,North,Tablet,Referral,1,214.54,166.78,47.75999999999999
2024-10-24,East,Monitor,Referral,2,2948.29,1931.1,1017.19
2024-01-02,North,Monitor,Organic,1,1329.82,740.2,589.6199999999999
2024-08-20,East,Tablet,Referral,4,5403.24,4139.56,1263.6799999999994
2024-04-29,North,Monitor,Email,1,284.36,218.84,65.52000000000001
2024-12-05,South,Tablet,Referral,2,2826.39,2238.78,587.6099999999997
2024-12-03,South,Tablet,Referral,1,375.19,267.76,107.43
2024-10-15,South,Accessories,Referral,4,2325.52,1681.93,643.5899999999999
2024-07-13,North,Laptop,Referral,4,3151.12,2177.11,974.0099999999998
2024-01-22,South,Accessories,Email,2,2727.69,1719.31,1008.3800000000001
2024-10-03,South,Laptop,Referral,3,2292.45,1280.5,1011.9499999999998
2024-11-12,West,Tablet,Referral,3,3493.21,1792.3,1700.91
2024-06-20,West,Accessories,Paid Ads,1,1331.07,964.11,366.9599999999999
2024-02-06,West,Accessories,Organic,2,2903.3,2290.95,612.3500000000004
2024-04-25,East,Accessories,Organic,4,5136.59,3056.67,2079.92
2024-05-07,South,Laptop,Paid Ads,3,3822.33,2977.61,844.7199999999998
2024-06-22,West,Phone,Referral,3,4456.73,2415.66,2041.0699999999997
2024-06-03,South,Phone,Paid Ads,1,1280.57,692.77,587.8
2024-09-02,West,Accessories,Paid Ads,3,1976.05,1139.91,836.1399999999999
2024-01-13,West,Phone,Email,1,960.45,536.2,424.25
2024-09-20,West,Monitor,Email,3,270.13,181.98,88.15
2024-10-14,East,Tablet,Organic,2,1673.67,980.71,692.96
2024-11-09,South,Laptop,Referral,2,2485.54,1511.35,974.19
2024-04-10,North,Accessories,Referral,4,5798.46,3694.66,2103.8
2024-09-18,North,Monitor,Paid Ads,3,3192.88,1728.96,1463.92
2024-05-23,North,Phone,Referral,2,1036.57,765.57,270.9999999999999
2024-11-14,East,Monitor,Paid Ads,3,1241.24,689.26,551.98
2024-11-13,East,Laptop,Referral,1,134.38,104.09,30.289999999999992
2024-08-26,South,Laptop,Referral,1,455.9,358.55,97.34999999999997
2024-07-10,East,Accessories,Paid Ads,1,658.42,378.14,280.28
2024-05-23,East,Accessories,Paid Ads,1,545.73,287.89,257.84000000000003
